,Title,Channel,Views,Ago
0,Girls vs Boys burning fire crackers 😂 #priyalkukreja #shorts #ytshorts,https://www.youtube.com/@Priyal_Kukreja,13M views,13 days ago
1,New 2023 Diwali Stash Worth ₹500000 Testing | 5 लाख रूपये के पटाखे🔥🔥,https://www.youtube.com/@CrazyXYZ,16M views,1 month ago
2,Stool me pataka fod diya💥😂|| #vlog 233 || #diwali #patakhe #crackers #celebration #shorts,https://www.youtube.com/@Balram.Mandal,1.8M views,12 days ago
3,Matchstick Chain Reaction Domino Vs Diwali Crackers Amazing Experiment,https://www.youtube.com/@VijaysainiVijaysaini-cb2gg,888K views,1 month ago
4,"Diwali Stash 2023 Testing 😱 Rocket , SkyShot , Cock Brand , Bullet , Bijli Bumb , Chakhri",https://www.youtube.com/@BIRRAMGARHIA,1.4M views,2 weeks ago
5,I HIT A NEW CENTURY | TECHNO GAMERZ CRICKET GAME | TECHNO GAMERZ CRICKET GAMEPLAY | TECHNO GAMERZ,https://www.youtube.com/@Technogamersfc,233K views,3 months ago
6,Middle Class Vs High Class Diwali Galatta 💥 | Madrasi | GalattaGuru,https://www.youtube.com/@Madrasi,1.4M views,1 year ago
7,40000 WALA FIRECRACKERS TESTING 🧨🧨 | 40000 वाले पटाखे टेस्टिंग🧨🧨 | 2021 Crackers Testing | Diwali,https://www.youtube.com/@CrazyRajasthaniHacker,16M views,2 years ago
8,Testing Diwali Crackers 2023 | Amazing Testing Diwali Fireworks | new Fireworks testing 2023,https://www.youtube.com/@CrazyRajasthaniHacker,1M views,3 months ago
9,Whistle Crackers #shorts #devkeexperiment,https://www.youtube.com/@DEVKeExperiment,1.7M views,10 days ago
10,Hi-Fi Diwali Cracker in Big Size Diwali Skyshot 😨😨🤯🤯 #diwali #crakerstesting #fireworks,https://www.youtube.com/@RIDHLIFESTYLE,482K views,8 days ago
11,Patako ki Dukan khol Li isne to💣💥😄|| #vlog 224 || #diwali #crackers #fireworks #firecracker #shorts,https://www.youtube.com/@Balram.Mandal,1.8M views,2 weeks ago
12,DIWALI SPECIAL🔥Damaal dumeel💥🔥❤️Really Semmaya irukku crackers Kandippa Vaangunga👍,https://www.youtube.com/@trendingtheeviravadhi001,5.6M views,1 month ago
