,Title,Channel,Views,Ago
0,Java Tutorial for Beginners,https://www.youtube.com/@programmingwithmosh,10M views,4 years ago
1,National Baizhu Day [Genshin Impact Spells Only],https://www.youtube.com/@JavaTheCup,65K views,21 hours ago
2,Java Programming for Beginners – Full Course,https://www.youtube.com/@freecodecamp,808K views,1 year ago
3,PLANNING MY FIRST SUPERCAR IN REAL LIFE 🤑| EXPENSIVE,https://www.youtube.com/@AnshuBishtVlogs,299K views,3 hours ago
4,best PL,https://www.youtube.com/@picusglancus,466 views,16 hours ago
5,Indonesia Now! Java is in chaos! Historic storms and floods destroyed houses,https://www.youtube.com/@Newnewspaper.today1110,11K views,20 hours ago
6,Java Full Course for free ☕,https://www.youtube.com/@BroCodez,8.6M views,3 years ago
7,Java Tutorial for Beginners 2023,https://www.youtube.com/@Telusko,1.7M views,10 months ago
8,Java Basics – Crash Course,https://www.youtube.com/@freecodecamp,63K views,1 month ago
9,Python Vs C++ Vs Java!,https://www.youtube.com/@ByteByteGo,145K views,1 month ago
10,How to Contribute to Java Open Source Projects,https://www.youtube.com/@KunalKushwaha,20K views,4 days ago
11,Java 21 Improved Emoji Support 💪,https://www.youtube.com/@java,4.6K views,5 days ago
12,Intro to Java Programming - Course for Absolute Beginners,https://www.youtube.com/@freecodecamp,2.5M views,4 years ago
13,What's New in Java 21 - Oracle TV from CloudWorld 2023,https://www.youtube.com/@java,3.1K views,7 days ago
14,Java On The GPU - Inside Java Newscast #58,https://www.youtube.com/@java,10K views,10 days ago
15,Learn Java in 14 Minutes (seriously),https://www.youtube.com/@alexlorenlee,4.3M views,4 years ago
16,Java Complete course | Tamil | code io,https://www.youtube.com/@codeio,195K views,4 months ago
17,Java Tutorial for Beginners | Learn Java in 2 Hours,https://www.youtube.com/@ApnaCollegeOfficial,5M views,2 years ago
18,Java Full Course in Tamil (2023) | Basics | OOP | Mini Project  | Logic First Tamil,https://www.youtube.com/@LogicFirstTamil,1.7M views,2 years ago
19,Ruby Programming Language - Full Course,https://www.youtube.com/@freecodecamp,1M views,5 years ago
20,C Language Tutorial for Beginners (with Notes & Practice Questions),https://www.youtube.com/@ApnaCollegeOfficial,23M views,1 year ago
21,"Every Message I Send in Co-op is Translated 20 times - If They Don't Understand Me, I Pull",https://www.youtube.com/@JavaTheCup,88K views,5 days ago
22,Introduction to Java Language | Lecture 1 | Complete Placement Course,https://www.youtube.com/@ApnaCollegeOfficial,9.9M views,2 years ago
23,Introduction to Arrays and ArrayList in Java,https://www.youtube.com/@KunalKushwaha,870K views,2 years ago
24,#4 How Java Works,https://www.youtube.com/@Telusko,170K views,10 months ago
25,Java Full Course 2022 | Java Tutorial For Beginners | Core Java Full Course | Simplilearn,https://www.youtube.com/@SimplilearnOfficial,1.1M views,Streamed 2 years ago
26,Collections Framework in Java | DSA | Core Java | Java Programming |,https://www.youtube.com/@HYRTutorialsTelugu,44K views,4 months ago
27,Variables in Java | Input Output | Complete Placement Course | Lecture 2,https://www.youtube.com/@ApnaCollegeOfficial,3.9M views,2 years ago
28,CORE JAVA TUTORIAL FOR BEGINNERS || LEARN CORE JAVA IN 15 HOURS || JAVA TUTORIALS FOR BEGINNERS,https://www.youtube.com/@SundeepSaradhi,1.7M views,2 years ago
29,Java Tutorial for Beginners in Hindi 🔥🔥🔥 || Core Java Full Course 2023 by JTC,https://www.youtube.com/@JTCINDIA,42K views,1 month ago
30,Java OOPs in One Shot | Object Oriented Programming | Java Language | Placement Course,https://www.youtube.com/@ApnaCollegeOfficial,3.1M views,2 years ago
31,Array vs. ArrayList in Java Tutorial - What's The Difference?,https://www.youtube.com/@CodingWithJohn,392K views,2 years ago
32,Loops in Java | Java Placement Full Course | Lecture 4,https://www.youtube.com/@ApnaCollegeOfficial,1.8M views,2 years ago
33,Indonesia Now! Java is in chaos! Historic storms and floods destroyed houses,https://www.youtube.com/@Newnewspaper.today1110,11K views,20 hours ago
34,Java in 100 Seconds,https://www.youtube.com/@Fireship,1M views,2 years ago
35,Java Full Course [NEW],https://www.youtube.com/@amigoscode,1.4M views,3 years ago
36,P21 - Constructors in Java | Core Java | Java Programming |,https://www.youtube.com/@HYRTutorialsTelugu,92K views,1 year ago
