,Title,Channel,Views,Ago
0,Sachin sir congratulating Anushka Sharma #viratkohli,https://www.youtube.com/@FlyingBeast320,31M views,10 days ago
1,Virat Kohli के 'Cricket King' बनने की कहानी | Case Study | Dr Vivek Bindra,https://www.youtube.com/@MrVivekBindra,885K views,7 days ago
2,virat & Viru The legendary performance ||#trendingshorts #shortvideo #cricket #sachintendulkar#virat,https://www.youtube.com/@desilibrary,18M views,10 days ago
3,Can Virat Kohli Play the 2027 World Cup?,https://www.youtube.com/@TanvirCricket,724K views,3 weeks ago
4,IPL 2024 RETENTIONS | Champions Trophy 2025 on TRACK in Pakistan?,https://www.youtube.com/@SaweraPasha1,11K views,Streamed 2 hours ago
5,चैनल के डिजिटल हेड ने बखिया उधेड़ डाली । INTERVIEW with #NavinKumar,https://www.youtube.com/@Article19India,88K views,5 hours ago
6,Virat Kohli 94* (50) vs West Indies 1st T20I 2019 Hyderabad (Ball By Ball),https://www.youtube.com/@ViratKohli.television,129K views,2 weeks ago
7,CWI XI vs WCL CA Under 14 Cricket Match 🏏#shayanjamal #cricketmatch #matchdayvlog,https://www.youtube.com/@SHAYANJAMAL,1.8K views,7 hours ago
8,Anushka Sharma's Cute & Funny Edit with Virat Kohli 😍😂❤️,https://www.youtube.com/@VirushkaEdits,17M views,4 months ago
9,Virat Unplugged - EP5,https://www.youtube.com/@WrognIn,360K views,8 days ago
10,Virat Kohli Reveals Big Secrets! | Wrogn Star Virat Unplugged Ep. 1,https://www.youtube.com/@starsports,857K views,2 weeks ago
11,Why MS Dhoni don't have phone?🥲 #msdhoni #viratkohli,https://www.youtube.com/@ScrollwithShorty,5.8M views,4 weeks ago
12,The King of Cricket - Virat Kohli | Wishing Happy Birthday to Cricket Legend | Story of Virat Kohli,https://www.youtube.com/@Peekaboo_Kidz,340K views,3 weeks ago
13,Virat Kohli 70* (29) vs West Indies 3rd T20I 2019 Mumbai (Ball By Ball),https://www.youtube.com/@ViratKohli.television,6.2M views,3 weeks ago
14,Virat Unplugged- EP 1 (Pt.1),https://www.youtube.com/@WrognIn,1M views,3 weeks ago
15,Watch Virat Kohli's emotional message for Indian Fans after India Loss World Cup Final vs Aus,https://www.youtube.com/@cricketexchange9416,329K views,6 days ago
16,Virat Kohli 50th ODI century🥺❤️(Wait for end) #cricket #shorts,https://www.youtube.com/@Rahulmunmun,529K views,9 days ago
17,Anushka sharma Touched Virat Kohli Feet After 49th century in IND vs SA Match #shorts #shortsfeed,https://www.youtube.com/@AsmitSports,19M views,2 weeks ago
18,Virat Kohli & Anushka Sharma during #INDvsPAK Match Video Edit 😍❤️,https://www.youtube.com/@VirushkaEdits,17M views,1 month ago
19,shubman gill ?? 😱 #cricket #cricketlovers #viratkohli,https://www.youtube.com/@AU_CRICKET_SHORTS,14M views,5 months ago
20,David Warner & Ravindra Jadeja share a laugh on the field in #DCvCSK | TATA IPL 2023 on JioCinema,https://www.youtube.com/@JioCinema,31M views,6 months ago
21,Virat Kohli gets a WICKET 😱😂 Virat kohli wicket today | virat kohli bowling today | Virat bowling,https://www.youtube.com/@SJAmazing,1.4M views,13 days ago
22,Virat Kohli 122 (105) vs England 1st ODI 2017 Pune (Ball By Ball),https://www.youtube.com/@ViratKohli.television,1.4M views,1 month ago
23,Jam with Fam: Virat Kohli & Anushka Sharma at PUMA India HQ,https://www.youtube.com/@PUMA,7.4M views,5 months ago
24,Virat Kohli Celebration Today | Virat Kohli 50th Century Celebration Infront of Sachin Tendulkar,https://www.youtube.com/@sportstuberofficial,1.3M views,11 days ago
25,Sachin Tendulkar heart winning Gesture on crying Mohammad shami after india Won vs NZ #shorts,https://www.youtube.com/@AsmitSports,5.5M views,9 days ago
26,Virat Kohli and Cristiano Ronaldo are Very Similar 😳,https://www.youtube.com/@TanvirCricket,1.7M views,2 weeks ago
27,Virat Kohli Attitude Status 🔥#shorts #short #trending #cricket,https://www.youtube.com/@CricketFans3776,2.4M views,5 months ago
28,Virat Unplugged- EP 1 (Pt.1),https://www.youtube.com/@WrognIn,1M views,3 weeks ago
29,Virat Kohli Lovely Gesture To Crying Rithika and Anushka Sharma After India Lost Final Against Aus,https://www.youtube.com/@mediatv7,898K views,5 days ago
30,Virat Kohli paid a visit to Anushka Sharma & Received Warm Hug after India's Loss to Australia🥺❤️,https://www.youtube.com/@VirushkaEdits,9.8M views,6 days ago
31,Virat Kohli: Rising From The Ashes | Let There Be Sport | PUMA,https://www.youtube.com/@PUMA,401K views,2 weeks ago
32,Believe: The Diwali Miracle! Virat Kohli Watches & Relives His Incredible Innings v Pak in T20WC,https://www.youtube.com/@starsports,1.3M views,Streamed 2 weeks ago
33,Virat Kohli 115* (66) vs Australia 6th Odi 2013 Nagpur (Ball By Ball),https://www.youtube.com/@cricicons,1.8M views,2 months ago
34,Glenn Maxwell hugs crying Virat Kohli after Virat Kohli gave signed Jersey to Maxwell after AUS won,https://www.youtube.com/@cric7videos,97K views,6 days ago
35,Virat and Sachin’s Beautiful Tribute for Each Other ❤️,https://www.youtube.com/@TanvirCricket,463K views,10 days ago
36,Virat Kohli 50th Century Record Breaking 😭 #ytshorts #shorts #indiavsnewzealand,https://www.youtube.com/@bihariladka,3.5M views,10 days ago
37,Believe: The Diwali Miracle Part 2: Kohli Relives His Incredible Innings v Pak in T20WC 2022,https://www.youtube.com/@starsports,1.6M views,Streamed 13 days ago
38,Virat Kohli 😂 | Boys memes #shorts,https://www.youtube.com/@Devanshcricketshorts,21M views,10 months ago
39,This version of Virushka 😍😂❤️| Virat Kohli & Anushka Sharma New Edit,https://www.youtube.com/@VirushkaEdits,46M views,6 months ago
40,Virat Kohli gave emotional video message from hotel room after loosing World Cup 2023 Final,https://www.youtube.com/@criccard,588K views,6 days ago
41,What Is Name Of Anushka's In Virat Kohli Phone 😂👀|| Ft. @PUMA,https://www.youtube.com/@ScrollWithPawan7,26M views,5 months ago
